Department Code,Department Name,Comments,Tax Code,Margin Percent
TAX,TAX,,Tax,0
NON,NONTAX,,Non,0
,E Liquid,,Tax,0
,E Cig,,Tax,0
,Glass,,Tax,0
,Scales,,Tax,0
,papers,,Tax,0
,Posters,,Tax,0
,Jewelry,,Tax,0
,Tobacco,,Tax,0
,Consignment,,Tax,0
,Drinks,,Tax,0
,snacks,,Tax,0
,Golf Bags and Straps,,Tax,0
,Miscellaneous,,Tax,0
,Candles,,Tax,0
,Stickers,,Tax,0
,Detox,,Tax,0
,Vaporizer,,Tax,0
,wrap,,Tax,0
,Clothing,,Tax,0
,Acrylic Pipes,,Tax,0
,Golf Baskets,,Tax,0
,Metal Pipes,,Tax,0
,Incense holder,,Tax,0
,Games,,Tax,0
,Hookah,,Tax,0
,Legal Herbs,,Tax,0
,pipe,,Tax,0
,E Cig coil,,Tax,0
,Grinder,,Tax,0
,Jar,,Tax,0
,Hacky Sack,,Tax,0
,Hemp,,Tax,0
,purse/wallet,,Tax,0
,Disc Golf Acc.,,Tax,0
,Employee,,Tax,0
,Cleaner,,Tax,0
,Supplements,,Tax,0
,Butane,,Tax,0
,water pipe,,Tax,0
,Ashcatcher,,Tax,0
,Rollers,,Tax,0
,Discs,,Tax,0
,Shoes,,Tax,0
,Smoking Systems,,Tax,0
,Nail,,Tax,0
,Concentrate Tools,,Tax,0
,Lighters,,Tax,0
,parts,,Tax,0
,Socks,,Tax,0
,Ashtray,,Tax,0
,Silicone,,Tax,0
,Smoking Accessories,,Tax,0
,Pouch/Case,,Tax,0
,screens,,Tax,0
,puzzle,,Tax,0
,patch,,Tax,0
,Tapestry,,Tax,0
,Food,,Tax,0
,Frisbee,,Tax,0
,Hat,,Tax,0
,Magnet,,Tax,0
,Gift Certificate,,Tax,0
,Collector Corner,,Tax,0
,Innova,,Tax,0
,Discraft,,Tax,0
,Latitude 64,,Tax,0
,Westside,,Tax,0
,Dynamic Discs,,Tax,0
,Legacy,,Tax,0
,Vibram,,Tax,0
,MVP,,Tax,0
,Axiom,,Tax,0
,Disc Mania,,Tax,0
,DGA,,Tax,0
,Millennium,,Tax,0
,Gateway,,Tax,0
,office supplies,,Tax,0
,prodigy,,Tax,0
,E Cig Supplies,,Tax,0
,Disc Golf Towel,,Tax,0
,Air Fresheners,,Tax,0
,Incense,,Tax,0
,Wildberry Pick Sticks Only!!!!,,Tax,0
,y,,Tax,0
,Aromatherapy,,Tax,0
,Backpack,,Tax,0
,predator,,Tax,0
,Metal Sign,,Tax,0
,Byop,,Tax,0
